key,0,1
#,,
int32,str,str
0,"TEXT_LOTTERYEXCHANGESHOPWKSTREASURE_UI_TITLE","道具鉴定"
1,"TEXT_LOTTERYEXCHANGESHOPWKSTREASURE_UI_SUBTITLE",""
2,"TEXT_LOTTERYEXCHANGESHOPWKSTREASURE_UI_NOITEM","没有能够鉴定的道具。"
3,"TEXT_LOTTERYEXCHANGESHOPWKSTREASURE_RESULT_UI_TITLE","道具鉴定结果"
4,"TEXT_LOTTERYEXCHANGESHOPWKSTREASURE_RESULT_UI_SUBTITLE",""
5,"TEXT_LOTTERYEXCHANGESHOPWKSTREASURE_RESULT_UI_NEXT","继续鉴定"
6,"TEXT_LOTTERYEXCHANGESHOPWKSTREASURE_CONFIRM_SINGLE","确定要鉴定<Sheet(Item,IntegerParameter(1),0)/>吗？

还可以鉴定<Value>IntegerParameter(2)</Value>次。（持有数量：<Value>IntegerParameter(3)</Value>）"
7,"TEXT_LOTTERYEXCHANGESHOPWKSTREASURE_CONFIRM_MULTI","确定要鉴定<Sheet(Item,IntegerParameter(1),0)/>×<Value>IntegerParameter(4)</Value>吗？

还可以鉴定<Value>IntegerParameter(2)</Value>次。（持有数量：<Value>IntegerParameter(3)</Value>）"
